Test User,Predicted Movie,Movies Seen in the Past
,"Movies, Rating","Movies, Rating >3"
601,"('Battlestar Galactica (2003)', 5.35)","('How to Train Your Dragon (2010)', 5.0)"
601,"('Bull Durham (1988)', 5.16)","('Iron Man (2008)', 5.0)"
601,"('Stranger than Fiction (2006)', 5.16)","('Saving Private Ryan (1998)', 5.0)"
601,"('Caddyshack (1980)', 5.16)","('Life Is Beautiful (La Vita è bella) (1997)', 5.0)"
601,"('Jungle Book, The (1967)', 5.05)","('Matrix, The (1999)', 5.0)"
602,"('Kids (1995)', 4.28)","('Braveheart (1995)', 5.0)"
602,"('Man Without a Face, The (1993)', 4.22)","('Clueless (1995)', 5.0)"
602,"('Taxi Driver (1976)', 4.03)","('In the Line of Fire (1993)', 5.0)"
602,"('Circle of Friends (1995)', 3.94)","('In the Name of the Father (1993)', 5.0)"
602,"('Snow White and the Seven Dwarfs (1937)', 3.94)","('Red Rock West (1992)', 5.0)"
603,"('Four Rooms (1995)', 4.25)","('Man Who Fell to Earth, The (1976)', 5.0)"
603,"(""Peter's Friends (1992)"", 4.25)","('400 Blows, The (Les quatre cents coups) (1959)', 5.0)"
603,"('Hamlet (1996)', 4.25)","('Limey, The (1999)', 5.0)"
603,"('Lost and Delirious (2001)', 4.25)","(""Boys Don't Cry (1999)"", 5.0)"
603,"('Believer, The (2001)', 4.25)","('Spellbound (1945)', 5.0)"
604,"(""Schindler's List (1993)"", 4.34)","('Jumanji (1995)', 5.0)"
604,"('Something to Talk About (1995)', 4.32)","('Interview with the Vampire: The Vampire Chronicles (1994)', 5.0)"
604,"('Walk in the Clouds, A (1995)', 4.32)","('Pulp Fiction (1994)', 5.0)"
604,"('Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)', 4.32)","('Natural Born Killers (1994)', 5.0)"
604,"('Shallow Grave (1994)', 4.24)","(""Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"", 5.0)"
605,"('Gosford Park (2001)', 4.52)","('Lord of the Rings: The Two Towers, The (2002)', 5.0)"
605,"('The Jungle Book (2016)', 4.52)","('Lord of the Rings: The Fellowship of the Ring, The (2001)', 5.0)"
605,"('Holiday Inn (1942)', 4.52)","('Mummy, The (1999)', 5.0)"
605,"('Full Monty, The (1997)', 4.27)","('10 Things I Hate About You (1999)', 5.0)"
605,"('Best Exotic Marigold Hotel, The (2011)', 4.27)","('Princess Bride, The (1987)', 5.0)"
606,"('50/50 (2011)', 4.65)","('Kid, The (1921)', 5.0)"
606,"('Skin I Live In, The (La piel que habito) (2011)', 4.65)","(""Schindler's List (1993)"", 5.0)"
606,"('Kingdom of Heaven (2005)', 4.52)","('Pride and Prejudice (1940)', 5.0)"
606,"('Love and Death (1975)', 4.52)","('Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)', 5.0)"
606,"('Baraka (1992)', 4.52)","('All About My Mother (Todo sobre mi madre) (1999)', 5.0)"
607,"('Bambi (1942)', 4.93)","('Twister (1996)', 5.0)"
607,"('My Life in Pink (Ma vie en rose) (1997)', 4.93)","('Saving Private Ryan (1998)', 5.0)"
607,"('All About My Mother (Todo sobre mi madre) (1999)', 4.93)","('Silence of the Lambs, The (1991)', 5.0)"
607,"('Before Night Falls (2000)', 4.93)","('Matrix, The (1999)', 5.0)"
607,"('Thirteen Days (2000)', 4.93)","('Planet of the Apes (1968)', 5.0)"
608,"('Mad Max: Fury Road (2015)', 4.02)","('Dark City (1998)', 5.0)"
608,"('Gone with the Wind (1939)', 4.02)","('Hellboy (2004)', 5.0)"
608,"('Yes Man (2008)', 4.02)","('Matrix Reloaded, The (2003)', 5.0)"
608,"('Ugly Truth, The (2009)', 4.02)","('American Beauty (1999)', 5.0)"
608,"('The Hunger Games (2012)', 4.02)","('Payback (1999)', 5.0)"
609,"('Twister (1996)', 3.88)","('Tin Drum, The (Blechtrommel, Die) (1979)', 4.0)"
609,"('Independence Day (a.k.a. ID4) (1996)', 3.76)","(""Heaven's Prisoners (1996)"", 4.0)"
609,"('Jumanji (1995)', 3.75)","('Dances with Wolves (1990)', 4.0)"
609,"('Billy Madison (1995)', 3.74)","('GoldenEye (1995)', 4.0)"
609,"(""Mr. Holland's Opus (1995)"", 3.74)","('Forrest Gump (1994)', 4.0)"
610,"('Vicky Cristina Barcelona (2008)', 4.51)","('Toy Story (1995)', 5.0)"
610,"('Take the Money and Run (1969)', 4.51)","('In Bruges (2008)', 5.0)"
610,"('Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)', 4.51)","('Blue Velvet (1986)', 5.0)"
610,"('Raiders of the Lost Ark: The Adaptation (1989)', 4.51)","('Bourne Ultimatum, The (2007)', 5.0)"
610,"('Underground (1995)', 4.51)","('John Wick (2014)', 5.0)"
