Test User,Predicted Movie,Movies Seen in the Past
,"Movies, Rating","Movies, Rating >3"
601,"(""Buffalo '66 (a.k.a. Buffalo 66) (1998)"", 5.8)","('How to Train Your Dragon (2010)', 5.0)"
601,"(""Man Bites Dog (C'est arrivé près de chez vous) (1992)"", 5.8)","('Iron Man (2008)', 5.0)"
601,"('Eraserhead (1977)', 5.8)","('Saving Private Ryan (1998)', 5.0)"
601,"('Jetée, La (1962)', 5.8)","('Life Is Beautiful (La Vita è bella) (1997)', 5.0)"
601,"('Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990)', 5.8)","('Matrix, The (1999)', 5.0)"
602,"('Welcome to the Dollhouse (1995)', 4.31)","('Braveheart (1995)', 5.0)"
602,"('Men in Black (a.k.a. MIB) (1997)', 4.25)","('Clueless (1995)', 5.0)"
602,"('Fifth Element, The (1997)', 4.25)","('In the Line of Fire (1993)', 5.0)"
602,"('Wallace & Gromit: The Best of Aardman Animation (1996)', 4.24)","('In the Name of the Father (1993)', 5.0)"
602,"('Prophecy, The (1995)', 4.23)","('Red Rock West (1992)', 5.0)"
603,"('Skin I Live In, The (La piel que habito) (2011)', 4.5)","('Man Who Fell to Earth, The (1976)', 5.0)"
603,"('Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993)', 4.44)","('400 Blows, The (Les quatre cents coups) (1959)', 5.0)"
603,"('Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)', 4.44)","('Limey, The (1999)', 5.0)"
603,"('Mulholland Dr. (1999)', 4.44)","(""Boys Don't Cry (1999)"", 5.0)"
603,"('Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)', 4.44)","('Spellbound (1945)', 5.0)"
604,"('2001: A Space Odyssey (1968)', 4.46)","('Jumanji (1995)', 5.0)"
604,"('Welcome to the Dollhouse (1995)', 4.39)","('Interview with the Vampire: The Vampire Chronicles (1994)', 5.0)"
604,"('Kids (1995)', 4.37)","('Pulp Fiction (1994)', 5.0)"
604,"('Wallace & Gromit: The Best of Aardman Animation (1996)', 4.34)","('Natural Born Killers (1994)', 5.0)"
604,"('Men in Black (a.k.a. MIB) (1997)', 4.34)","(""Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"", 5.0)"
605,"('Holiday Inn (1942)', 4.52)","('Lord of the Rings: The Two Towers, The (2002)', 5.0)"
605,"('Submarine (2010)', 4.5)","('Lord of the Rings: The Fellowship of the Ring, The (2001)', 5.0)"
605,"('Very Bad Things (1998)', 4.36)","('Mummy, The (1999)', 5.0)"
605,"('Before Night Falls (2000)', 4.36)","('10 Things I Hate About You (1999)', 5.0)"
605,"('Closet, The (Placard, Le) (2001)', 4.36)","('Princess Bride, The (1987)', 5.0)"
606,"('Holy Mountain, The (Montaña sagrada, La) (1973)', 4.66)","('Kid, The (1921)', 5.0)"
606,"('Unfaithfully Yours (1948)', 4.66)","(""Schindler's List (1993)"", 5.0)"
606,"('Skin I Live In, The (La piel que habito) (2011)', 4.65)","('Pride and Prejudice (1940)', 5.0)"
606,"('Before Night Falls (2000)', 4.59)","('Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)', 5.0)"
606,"('Strictly Sexual (2008)', 4.54)","('All About My Mother (Todo sobre mi madre) (1999)', 5.0)"
607,"('Life Less Ordinary, A (1997)', 4.98)","('Twister (1996)', 5.0)"
607,"('Before Night Falls (2000)', 4.93)","('Saving Private Ryan (1998)', 5.0)"
607,"('Closet, The (Placard, Le) (2001)', 4.93)","('Silence of the Lambs, The (1991)', 5.0)"
607,"('Magdalene Sisters, The (2002)', 4.93)","('Matrix, The (1999)', 5.0)"
607,"('Beloved (1998)', 4.93)","('Planet of the Apes (1968)', 5.0)"
608,"('Magdalene Sisters, The (2002)', 4.28)","('Dark City (1998)', 5.0)"
608,"('Angels and Insects (1995)', 4.28)","('Hellboy (2004)', 5.0)"
608,"('Beloved (1998)', 4.28)","('Matrix Reloaded, The (2003)', 5.0)"
608,"('Panic (2000)', 4.28)","('American Beauty (1999)', 5.0)"
608,"('Topo, El (1970)', 4.14)","('Payback (1999)', 5.0)"
609,"('Wallace & Gromit: The Best of Aardman Animation (1996)', 4.07)","('Tin Drum, The (Blechtrommel, Die) (1979)', 4.0)"
609,"('Star Wars: Episode IV - A New Hope (1977)', 4.07)","(""Heaven's Prisoners (1996)"", 4.0)"
609,"('Red Rock West (1992)', 4.07)","('Dances with Wolves (1990)', 4.0)"
609,"('Shallow Grave (1994)', 4.03)","('GoldenEye (1995)', 4.0)"
609,"('Army of Darkness (1993)', 3.95)","('Forrest Gump (1994)', 4.0)"
610,"('Towering Inferno, The (1974)', 4.76)","('Toy Story (1995)', 5.0)"
610,"('True Grit (1969)', 4.76)","('In Bruges (2008)', 5.0)"
610,"('Gigantic (A Tale of Two Johns) (2002)', 4.76)","('Blue Velvet (1986)', 5.0)"
610,"(""It's a Mad, Mad, Mad, Mad World (1963)"", 4.76)","('Bourne Ultimatum, The (2007)', 5.0)"
610,"('Day at the Races, A (1937)', 4.76)","('John Wick (2014)', 5.0)"
